S.Word,Variation,Source,Start,End,Duration,ClipName,ClipStart,ClipEnd,ClipDuration
aburrido,1,Lista-A,00:01.280,00:04.600,3.32,aburrido.mp4,00:00.800,00:05.080,4.28
agua,1,Lista-A,00:05.320,00:08.840,3.52,agua.mp4,00:04.840,00:09.320,4.48
alto,1,Lista-A,00:09.440,00:13.080,3.64,alto.mp4,00:08.960,00:13.560,4.6
amarillo,1,Lista-A,00:13.640,00:17.240,3.6,amarillo.mp4,00:13.160,00:17.720,4.56
amigo,1,Lista-A,00:18.200,00:21.840,3.64,amigo.mp4,00:17.720,00:22.320,4.6
animal,1,Lista-A,00:22.840,00:26.160,3.32,animal.mp4,00:22.360,00:26.640,4.28
araña,1,Lista-A,00:27.200,00:30.600,3.4,arana.mp4,00:26.720,00:31.080,4.36
árbol,1,Lista-A,00:31.840,00:35.760,3.92,arbol.mp4,00:31.360,00:36.240,4.88
Asia,1,Lista-A,00:37.280,00:40.800,3.52,asia.mp4,00:36.800,00:41.280,4.48
auto,1,Lista-A,00:41.960,00:45.880,3.92,auto.mp4,00:41.480,00:46.360,4.88
ave,1,Lista-A,00:46.960,00:51.160,4.2,ave.mp4,00:46.480,00:51.640,5.16
avión,1,Lista-A,00:52.360,00:56.240,3.88,avion.mp4,00:51.880,00:56.720,4.84
ayuda,1,Lista-A,00:57.560,01:01.240,3.68,ayuda.mp4,00:57.080,01:01.720,4.64
bajo,1,Lista-A,01:02.360,01:05.920,3.56,bajo.mp4,01:01.880,01:06.400,4.52
basura,1,Lista-A,01:07.000,01:10.520,3.52,basura.mp4,01:06.520,01:11.000,4.48
baño,1,Lista-A,01:11.840,01:16.040,4.2,bano.mp4,01:11.360,01:16.520,5.16
bebé,1,Lista-A,01:22.000,01:26.120,4.12,bebe.mp4,01:21.520,01:26.600,5.08
bebida,1,Lista-A,01:17.120,01:21.280,4.16,bebida.mp4,01:16.640,01:21.760,5.12
boca,1,Lista-A,01:27.120,01:30.680,3.56,boca.mp4,01:26.640,01:31.160,4.52
botella,1,Lista-A,01:31.640,01:35.880,4.24,botella.mp4,01:31.160,01:36.360,5.2
bueno,1,Lista-A,01:37.080,01:40.720,3.64,bueno.mp4,01:36.600,01:41.200,4.6
caja,1,Lista-A,01:41.680,01:45.160,3.48,caja.mp4,01:41.200,01:45.640,4.44
calendario,1,Lista-A,01:46.320,01:50.560,4.24,calendario.mp4,01:45.840,01:51.040,5.2
cama,1,Lista-A,01:52.200,01:55.880,3.68,cama.mp4,01:51.720,01:56.360,4.64
cámara de fotos,1,Lista-A,01:57.080,02:01.600,4.52,camara_de_fotos.mp4,01:56.600,02:02.080,5.48
caminar,1,Lista-A,02:02.760,02:06.880,4.12,caminar.mp4,02:02.280,02:07.360,5.08
cansado,1,Lista-A,02:08.119,02:12.400,4.281,cansado.mp4,02:07.639,02:12.880,5.241
capitán,1,Lista-A,02:13.520,02:17.200,3.68,capitan.mp4,02:13.040,02:17.680,4.64
casa,1,Lista-A,02:18.480,02:22.240,3.76,casa.mp4,02:18.000,02:22.720,4.72
ciudad,1,Lista-A,02:23.240,02:27.240,4,ciudad.mp4,02:22.760,02:27.720,4.96
clima,1,Lista-A,02:28.280,02:32.640,4.36,clima.mp4,02:27.800,02:33.120,5.32
cocina,1,Lista-A,02:33.800,02:38.000,4.2,cocina.mp4,02:33.320,02:38.480,5.16
cola,1,Lista-A,02:45.400,02:49.600,4.2,cola.mp4,02:44.920,02:50.080,5.16
color,1,Lista-A,02:40.960,02:44.920,3.96,color.mp4,02:40.480,02:45.400,4.92
comida,1,Lista-A,02:55.040,02:58.960,3.92,comida.mp4,02:54.560,02:59.440,4.88
comprar,1,Lista-A,02:50.640,02:53.960,3.32,comprar.mp4,02:50.160,02:54.440,4.28
conocer,1,Lista-A,02:59.960,03:03.880,3.92,conocer.mp4,02:59.480,03:04.360,4.88
contar,1,Lista-A,03:05.280,03:09.160,3.88,contar.mp4,03:04.800,03:09.640,4.84
corazón,1,Lista-A,03:10.280,03:14.080,3.8,corazon.mp4,03:09.800,03:14.560,4.76
cuerpo,1,Lista-A,03:19.640,03:23.240,3.6,cuerpo.mp4,03:19.160,03:23.720,4.56
cumpleaños,1,Lista-A,03:14.880,03:18.880,4,cumpleanos.mp4,03:14.400,03:19.360,4.96
de acuerdo,1,Lista-A,03:24.440,03:28.440,4,de_acuerdo.mp4,03:23.960,03:28.920,4.96
decidir,1,Lista-A,03:33.920,03:37.520,3.6,decidir.mp4,03:33.440,03:38.000,4.56
desaparecer,1,Lista-A,03:29.280,03:32.800,3.52,desaparecer.mp4,03:28.800,03:33.280,4.48
desfile,1,Lista-A,03:38.720,03:44.240,5.52,desfile.mp4,03:38.240,03:44.720,6.48
día,1,Lista-A,03:50.240,03:54.400,4.16,dia.mp4,03:49.760,03:54.880,5.12
difícil,1,Lista-A,03:45.800,03:49.560,3.76,dificil.mp4,03:45.320,03:50.040,4.72
dinero,1,Lista-A,03:55.080,03:58.720,3.64,dinero.mp4,03:54.600,03:59.200,4.6
dirección,1,Lista-A,03:59.760,04:04.240,4.48,direccion.mp4,03:59.280,04:04.720,5.44
discutir,1,Lista-A,04:05.240,04:09.520,4.28,discutir.mp4,04:04.760,04:10.000,5.24
dolor,1,Lista-A,04:10.520,04:14.920,4.4,dolor.mp4,04:10.040,04:15.400,5.36
dolor,2,Lista-A,04:15.480,04:20.040,4.56,dolor_2.mp4,04:15.000,04:20.520,5.52
correr,1,Lista-B,00:01.840,00:06.000,4.16,correr.mp4,00:01.360,00:06.480,5.12
dormir,1,Lista-B,00:06.640,00:09.960,3.32,dormir.mp4,00:06.160,00:10.440,4.28
dos,1,Lista-B,00:10.560,00:13.560,3,dos.mp4,00:10.080,00:14.040,3.96
duda,1,Lista-B,00:14.120,00:17.720,3.6,duda.mp4,00:13.640,00:18.200,4.56
email,1,Lista-B,00:18.360,00:21.640,3.28,email.mp4,00:17.880,00:22.120,4.24
empezar,1,Lista-B,00:22.400,00:26.000,3.6,empezar.mp4,00:21.920,00:26.480,4.56
empujar,1,Lista-B,00:26.560,00:29.800,3.24,empujar.mp4,00:26.080,00:30.280,4.2
